a.  un; una .  
aardvark.  osohormiguero .  
aardwolf.  carn vorosudafricanoparecidoalahiena .  
aasvogel.  buitresudafricanoaba,abba, .  
abaya.  telasiriahechadepelodecabraocamello; prendaexteriorhechadeestatela .  
abaca.  plantaquecreceenfilipinascuyasfibrasrecibenelnombredec  amodemanila .  
aback.  atr s; haciaatr s .  
abactinal.  sinrayos .  
abactor.  ladr ndeganado .  
abacus.   baco .  
abaft.  apopa; haciapopa .  
abalone.  orejamarina .  
abandon.  abandono; naturalidad; desenvoltura; desenfreno; abandonar; entregarse .  
abandoned.  abandonado; vicioso; depravado .  
abandonment.  abandono; dejaci n; entregades mismo; desamparo; desenfreno .  
abase.  humillar; rebajar; envilecer .  
abasement.  humillaci n; degradaci n; envilecimiento .  
abash.  avergonzar; correr; confundir; desconcertar .  
abashed.  avergonzado; confuso; desconcertado .  
abashment.  verg enza; confusi n .  
abate.  reducir; disminuir; rebajar; moderar; deducir; quitar; suprimir; anular; menguar; amainar; ceder; remitir .  
abatement.  disminuci n; mitigaci n; moderaci n; rebaja; deducci n; supresi n; anulaci nabatis, .  
abattis.  murallade rbolesca dosconlasramashaciaafuera .  
abat-jour.  pantallaopostigo .  
abattoir.  matadero; picadero .  
abattu.  deprimido .  
abature.  rastrodeunciervoatrav sdelamaleza .  
abat-voix.  cajaderesonancia .  
abaxial.  lejosdelosejes .  
abb.  hilodelatramaodelaurdimbre .  
abba.  padre .  
abbacy.  abad a; convento; monasterio .  
abbatial.  abacial .  
abb .  abate .  
abbess.  abadesa .  
abbey.  abad a; convento; monasterio .  
abbot.  abad .  
abbotship.  abbacy .  
abbreviate.  abreviar .  
abbreviation.  abreviatura; abreviaci n .  
 .  
abbreviature.  compendio; resumen .  
abdicate.  abdicar; renunciar .  
abdication.  abdicaci n; renuncia .  
abdomen.  abdomen .  
abdominal.  abdominal .  
abdominous.  panzudo .  
abduce.  abduct .  
abducent.  abductor .  
abduct.  raptar; secuestrar; plagiar .  
abduction.  secuestro; rapto; robo; plagio; abductor .  
abeam.  poreltrav s .  
abear.  comportarse; tolerar; soportar .  
abed.  acostado; encama .  
abeigh.  fr o; reservado .  
abele.   lamoblanco .  
abelmosk.  abelmosco; plantadelafamiliadelasmalv ceas,procedentedelaindia,cuyassemillasseempleanenmedicinayperfumer a .  
aberdevine.  nombrequeloscriadoresledanalpinz namarillo .  
aberglaube.  superstici naberrance, .  
aberrancy.  error; extrav o; anormalidad .  
aberrant.  an malo; aberrante; anormal .  
aberrate.  desviarsedelbuencamino .  
aberration.  aberraci n .  
abet.  ayudar; incitar; instigar; alentar; consentir .  
abetment.  ayuda; incitaci n; complicidadabetter, .  
abettor.  instigador; c mplice .  
abeyance.  suspenso .  
abhominable.  abominable .  
abhor.  aborrecer; detestar; repugnar .  
abhorrence.  aborrecimiento .  
abhorrent.  aborrecible; repugnante; detestable; opuesto; incompatible .  
abidance.  estancia; permanencia; observancia .  
abide.  vivir; habitar; sufrir; mantenerse; cumplir; soportar; atenerse; quedarse; permanecer; esperar; aguardarabide .  
by.  cumplir; acatar .  
abiding.  permanente; durable; perdurable .  
abigail.  doncella; camarera .  
ability.  habilidad; talento; capacidad; aptitud; ingenio; inteligencia; talento; poder; facultad; posibilidades .  
abintestate.  abintestato; procedimientojudicialsobreherenciayadjudicaci ndebienesdelquemueresintestar .  
abiogenesis.  generaci nespont nea .  
abiotic.  abi tico .  
abiturient.  enalemaniaalumnoquedejalaescuelaparairalauniversidad .  
abject.  abatido; abyecto; vil; rastrero; humildeabjection, .  
abjectness.  abyecci n .  
abjectness.  vileza .  
abjoint.  crearunapartici n .  
abjuration.  abjuraci n .  
abjure.  abjurar; renunciar .  
ablactation.  destete .  
 .  
